UKPRN,Institution name,Main panel,UOA name,2013,2014,2015,2016,2017,2018,2019,Total,Average,Region
10007786,University of Bristol,C,Anthropology and Development Studies,3.0,6.5,4.35,7.5,6.63,5.4,6.0,39.38,5.625714285714286,South West
10007786,University of Bristol,C,Education,35.5,38.3,27.7,42.0,23.75,13.33,17.6,198.18,28.31142857142857,South West
10007786,University of Bristol,C,"Sport and Exercise Sciences, Leisure and Tourism",0.0,2.0,2.75,3.0,0.2,2.5,1.0,11.45,1.6357142857142857,South West
10007786,University of Bristol,D,Modern Languages and Linguistics,3.0,7.0,4.0,7.83,11.5,9.5,5.0,47.83,6.832857142857143,South West
10007786,University of Bristol,D,English Language and Literature,8.5,7.0,6.5,5.0,6.5,5.5,5.5,44.5,6.357142857142857,South West
10007786,University of Bristol,D,History,10.5,13.5,7.5,11.0,9.0,14.0,11.5,77.0,11.0,South West
10007786,University of Bristol,D,Classics,2.25,3.4,3.4,2.5,1.5,3.0,1.5,17.55,2.507142857142857,South West
10007786,University of Bristol,D,Philosophy,5.0,6.0,10.0,5.0,6.0,4.5,11.0,47.5,6.785714285714286,South West
10007786,University of Bristol,D,Theology and Religious Studies,2.0,6.0,2.5,2.0,6.0,2.0,2.0,22.5,3.2142857142857144,South West
10007786,University of Bristol,D,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",8.5,6.6,10.0,10.0,8.0,12.33,9.0,64.43,9.204285714285716,South West
10000961,Brunel University London,A,"Allied Health Professions, Dentistry, Nursing and Pharmacy",18.0,16.0,17.0,16.0,9.0,13.0,14.0,103.0,14.714285714285714,London
10000961,Brunel University London,A,"Psychology, Psychiatry and Neuroscience",1.0,6.0,2.0,8.0,3.0,2.0,4.0,26.0,3.7142857142857135,London
10000961,Brunel University London,B,Earth Systems and Environmental Sciences,2.0,6.0,3.0,3.0,3.0,3.0,0.0,20.0,2.857142857142857,London
10000961,Brunel University London,B,Mathematical Sciences,8.0,9.0,0.0,7.0,7.0,6.0,2.0,39.0,5.571428571428571,London
10000961,Brunel University London,B,Computer Science and Informatics,19.0,21.0,17.0,14.0,17.0,12.0,15.0,115.0,16.428571428571427,London
10000961,Brunel University London,B,Engineering,39.0,75.0,83.0,69.0,83.0,57.0,53.0,459.0,65.57142857142857,London
10000961,Brunel University London,C,Economics and Econometrics,6.0,7.0,9.0,10.0,9.0,4.0,7.0,52.0,7.428571428571429,London
10000961,Brunel University London,C,Business and Management Studies,27.0,23.0,24.0,35.0,29.0,31.0,23.0,192.0,27.428571428571427,London
10000961,Brunel University London,C,Law,14.0,15.0,6.0,11.0,14.0,8.0,10.0,78.0,11.142857142857142,London
10000961,Brunel University London,C,Politics and International Studies,1.0,6.0,3.0,4.0,2.0,3.0,2.0,21.0,3.0,London
10000961,Brunel University London,C,Sociology,3.0,4.0,1.0,4.0,3.0,2.0,3.0,20.0,2.857142857142857,London
10000961,Brunel University London,C,Anthropology and Development Studies,5.0,1.0,2.0,4.0,0.0,1.0,1.0,14.0,2.0,London
10000961,Brunel University London,C,Education,8.0,1.0,8.0,12.0,0.0,1.0,3.0,33.0,4.714285714285714,London
10000961,Brunel University London,C,"Sport and Exercise Sciences, Leisure and Tourism",5.0,7.0,3.0,3.0,7.0,4.0,1.0,30.0,4.285714285714286,London
10000961,Brunel University London,D,English Language and Literature,3.0,8.0,5.0,5.0,6.0,4.0,3.0,34.0,4.857142857142857,London
10000961,Brunel University London,D,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",3.0,2.0,8.0,4.0,0.0,7.0,3.0,27.0,3.857142857142857,London
10000975,Buckinghamshire New University,A,"Allied Health Professions, Dentistry, Nursing and Pharmacy",1.0,2.0,0.0,1.0,0.0,0.0,4.0,8.0,1.1428571428571428,South East
10000975,Buckinghamshire New University,B,Earth Systems and Environmental Sciences,1.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.5714285714285714,South East
10000975,Buckinghamshire New University,C,Social Work and Social Policy,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.4285714285714285,South East
10000975,Buckinghamshire New University,C,Education,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1428571428571428,South East
10000975,Buckinghamshire New University,C,"Sport and Exercise Sciences, Leisure and Tourism",0.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,0.7142857142857143,South East
10000975,Buckinghamshire New University,D,"Art and Design: History, Practice and Theory",2.0,0.0,2.0,1.0,1.0,0.0,0.0,6.0,0.8571428571428571,South East
10007788,University of Cambridge,A,Clinical Medicine,94.0,97.0,101.5,116.5,111.0,145.0,94.0,759.0,108.42857142857144,East of England
10007788,University of Cambridge,A,"Public Health, Health Services and Primary Care",19.0,16.0,13.0,17.0,9.0,20.5,18.0,112.5,16.071428571428573,East of England
10007788,University of Cambridge,A,"Psychology, Psychiatry and Neuroscience",56.0,74.0,46.5,68.5,63.0,51.0,56.0,415.0,59.285714285714285,East of England
10007788,University of Cambridge,A,Biological Sciences,182.0,160.0,139.5,133.0,135.5,140.0,139.0,1029.0,147.0,East of England
10007788,University of Cambridge,A,"Agriculture, Food and Veterinary Sciences",11.0,11.0,9.0,11.5,12.5,15.0,7.0,77.0,11.0,East of England
10007788,University of Cambridge,B,Earth Systems and Environmental Sciences,20.0,11.0,18.0,13.0,22.0,19.0,21.0,124.0,17.714285714285715,East of England
10007788,University of Cambridge,B,Chemistry,65.0,68.0,70.0,81.0,67.0,73.0,60.0,484.0,69.14285714285714,East of England
10007788,University of Cambridge,B,Physics,77.0,81.0,68.0,81.5,82.0,87.0,75.0,551.5,78.78571428571429,East of England
10007788,University of Cambridge,B,Mathematical Sciences,44.0,46.0,53.5,52.0,46.0,51.5,40.0,333.0,47.57142857142857,East of England
10007788,University of Cambridge,B,Computer Science and Informatics,20.0,24.0,23.0,28.0,17.0,25.0,18.0,155.0,22.142857142857142,East of England
10007788,University of Cambridge,B,Engineering,187.0,181.0,184.0,206.0,195.0,192.0,173.0,1318.0,188.28571428571428,East of England
10007788,University of Cambridge,C,"Architecture, Built Environment and Planning",17.0,12.0,26.0,25.0,30.0,17.0,26.0,153.0,21.857142857142858,East of England
10007788,University of Cambridge,C,Geography and Environmental Studies,26.0,17.0,17.0,25.0,26.0,10.0,16.0,137.0,19.571428571428573,East of England
10007788,University of Cambridge,C,Archaeology,24.0,15.0,20.0,18.0,16.0,20.0,15.0,128.0,18.285714285714285,East of England
10007788,University of Cambridge,C,Economics and Econometrics,13.0,12.0,9.0,12.0,15.0,11.0,10.0,82.0,11.714285714285714,East of England
10007788,University of Cambridge,C,Business and Management Studies,17.0,15.0,11.0,7.0,4.0,7.0,6.0,67.0,9.571428571428571,East of England
10007788,University of Cambridge,C,Law,25.0,30.0,17.0,18.0,23.0,30.0,21.0,164.0,23.428571428571427,East of England
10007788,University of Cambridge,C,Politics and International Studies,32.0,18.0,29.0,31.0,24.0,23.0,23.0,180.0,25.714285714285715,East of England
10007788,University of Cambridge,C,Sociology,10.0,14.0,17.0,18.0,14.0,21.0,22.0,116.0,16.571428571428573,East of England
10007788,University of Cambridge,C,Anthropology and Development Studies,9.0,12.0,15.0,13.0,10.0,7.0,9.0,75.0,10.714285714285714,East of England
10007788,University of Cambridge,C,Education,25.0,29.0,23.0,33.0,32.0,47.0,45.0,234.0,33.42857142857143,East of England
10007788,University of Cambridge,D,Area Studies,13.0,6.0,10.0,11.0,8.0,14.0,7.0,69.0,9.857142857142858,East of England
10007788,University of Cambridge,D,Modern Languages and Linguistics,24.0,44.0,38.0,30.0,34.0,41.0,30.0,241.0,34.42857142857143,East of England
10007788,University of Cambridge,D,English Language and Literature,20.0,22.0,19.0,17.0,17.0,24.0,12.0,131.0,18.714285714285715,East of England
10007788,University of Cambridge,D,History,39.0,52.0,49.0,40.0,55.0,46.0,49.0,330.0,47.142857142857146,East of England
10007788,University of Cambridge,D,Classics,10.0,10.0,9.0,18.0,13.0,12.0,8.0,80.0,11.428571428571429,East of England
10007788,University of Cambridge,D,Philosophy,23.0,7.0,14.0,15.0,11.0,14.0,17.0,101.0,14.428571428571429,East of England
10007788,University of Cambridge,D,Theology and Religious Studies,12.0,17.0,19.0,19.0,13.0,23.0,18.0,121.0,17.285714285714285,East of England
10007788,University of Cambridge,D,"Art and Design: History, Practice and Theory",12.0,11.0,8.0,7.0,4.0,10.0,9.0,61.0,8.714285714285714,East of England
10007788,University of Cambridge,D,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",6.0,11.0,8.0,5.0,7.0,9.0,5.0,51.0,7.285714285714286,East of England
10001143,Canterbury Christ Church University,A,"Allied Health Professions, Dentistry, Nursing and Pharmacy",1.0,4.0,3.0,3.0,4.0,2.0,0.0,17.0,2.4285714285714284,South East
10001143,Canterbury Christ Church University,A,"Psychology, Psychiatry and Neuroscience",0.0,30.0,39.0,27.0,40.0,25.0,42.0,203.0,29.0,South East
10001143,Canterbury Christ Church University,A,Biological Sciences,0.0,3.0,1.0,3.0,1.0,0.0,4.0,12.0,1.7142857142857142,South East
10001143,Canterbury Christ Church University,C,Law,0.0,1.0,1.0,1.0,0.0,3.0,1.0,7.0,1.0,South East
10001143,Canterbury Christ Church University,C,Politics and International Studies,0.0,0.0,0.0,0.0,4.0,3.0,4.0,11.0,1.5714285714285714,South East
10001143,Canterbury Christ Church University,C,Education,2.0,13.0,13.0,9.0,18.0,23.0,25.0,103.0,14.714285714285714,South East
10001143,Canterbury Christ Church University,C,"Sport and Exercise Sciences, Leisure and Tourism",2.0,6.0,2.0,3.0,3.0,5.0,3.0,24.0,3.4285714285714284,South East
10001143,Canterbury Christ Church University,D,English Language and Literature,0.0,4.0,1.0,0.0,2.0,2.0,2.0,11.0,1.5714285714285714,South East
10001143,Canterbury Christ Church University,D,History,2.0,1.0,0.0,0.0,2.0,4.0,1.0,10.0,1.4285714285714286,South East
10001143,Canterbury Christ Church University,D,Theology and Religious Studies,2.0,3.0,3.0,2.0,1.0,0.0,2.0,13.0,1.8571428571428568,South East
10001143,Canterbury Christ Church University,D,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",1.0,3.0,1.0,2.0,1.0,0.0,5.0,13.0,1.8571428571428568,South East
10001143,Canterbury Christ Church University,D,"Communication, Cultural and Media Studies, Library and Information Management",0.0,1.0,2.0,1.0,1.0,4.0,2.0,11.0,1.5714285714285714,South East
